,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,LAT,LONG
54,-8236581.905,4950133.342,55,0.149956808,0.000736275,Coney Island,55,Brooklyn,40.57689962,-73.99047414
55,-8221952.21,4974301.907,56,0.056847813,0.000180908,Corona,56,Queens,40.74159861,-73.85905336
56,-8221321.153,4975876.695,57,0.019270505,1.80E-05,Corona,56,Queens,40.75231604,-73.85338447
57,-8217683.333,4988987.38,58,0.059855409,0.000204981,Country Club,58,Bronx,40.8414755,-73.82070538
58,-8225739.419,4988602.525,59,0.037794807,6.29E-05,Crotona Park,59,Bronx,40.83885999,-73.89307443
59,-8225372.93,4987489.341,60,0.078648288,0.000161833,Crotona Park East,60,Bronx,40.83129412,-73.88978221
60,-8231105.864,4964351.938,61,0.117310808,0.000510772,Crown Heights North,61,Brooklyn,40.67384284,-73.94128203
61,-8231995.077,4963360.769,62,0.082259336,0.000158238,Crown Heights South,62,Brooklyn,40.66708956,-73.94926996
62,-8224025.321,4965961.813,63,0.119100722,0.000353191,Cypress Hills,63,Brooklyn,40.6848102,-73.87767643
63,-8207741.031,4977098.686,64,0.184451885,0.001057903,Douglaston,64,Queens,40.76063127,-73.73139216
64,-8236036.097,4967512.498,65,0.044607068,8.18E-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.69537261,-73.98557106
65,-8236126.453,4968446.318,66,0.054633459,0.000108379,DUMBO/Vinegar Hill,66,Brooklyn,40.70173247,-73.98638275
66,-8239282.708,4956225.627,67,0.099747078,0.000394282,Dyker Heights,67,Brooklyn,40.61845441,-74.01473587
67,-8237635.657,4975300.846,68,0.04933738,0.000111073,East Chelsea,68,Manhattan,40.74839722,-73.99994016
68,-8228220.929,4987388.35,69,0.078989645,0.000199052,East Concourse/Concourse Village,69,Bronx,40.83060768,-73.91536622
69,-8222992.998,4977586.122,70,0.063840318,0.000195458,East Elmhurst,70,Queens,40.76394782,-73.86840291
70,-8230710.957,4959962.222,71,0.093169455,0.000382573,East Flatbush/Farragut,71,Brooklyn,40.64392852,-73.93773452
71,-8228760.143,4961214.049,72,0.09520207,0.000323532,East Flatbush/Remsen Village,72,Brooklyn,40.65246063,-73.92021006
72,-8216111.385,4976079.699,73,0.085302021,0.0002918,East Flushing,73,Queens,40.75369749,-73.80658433
73,-8230775.075,4983704.792,74,0.110290936,0.000295038,East Harlem North,74,Manhattan,40.80556557,-73.9383105
74,-8231514.923,4981511.478,75,0.0876639,0.000240564,East Harlem South,75,Manhattan,40.79065016,-73.94495667
75,-8224107.802,4962127.577,76,0.241203016,0.001266601,East New York,76,Brooklyn,40.6586863,-73.87841737
76,-8226033.606,4963450.633,77,0.075461081,0.000191918,East New York/Pennsylvania Avenue,77,Brooklyn,40.66770187,-73.89571716
77,-8225023.764,4989657.622,78,0.09359445,0.000191114,East Tremont,78,Bronx,40.84603027,-73.88664559
78,-8235996.363,4972295.946,79,0.042624911,0.000107893,East Village,79,Manhattan,40.72794428,-73.98521413
79,-8231222.447,4970316.779,80,0.117212621,0.000407322,East Williamsburg,80,Brooklyn,40.71446958,-73.94232931
80,-8220447.083,4994268.914,81,0.197592772,0.000399567,Eastchester,81,Bronx,40.87735883,-73.84553257
81,-8223431.719,4973841.352,82,0.11987565,0.000323601,Elmhurst,82,Queens,40.73846392,-73.87234401
82,-8225310.549,4974088.426,83,0.105984933,0.000217464,Elmhurst/Maspeth,83,Queens,40.74014561,-73.88922183
83,-8257004.933,4943557.447,84,0.233623987,0.002073756,Eltingville/Annadale/Prince's Bay,84,Staten Island,40.5320172,-74.17393732
84,-8232322.231,4960450.258,85,0.057475147,0.000143638,Erasmus,85,Brooklyn,40.64725497,-73.95220884
85,-8210278.511,4953894.034,86,0.134245283,0.000623279,Far Rockaway,86,Queens,40.60255392,-73.75418673
86,-8238511.96,4969169.834,87,0.03690155,6.72E-05,Financial District North,87,Manhattan,40.70665962,-74.00781212
87,-8238901.094,4968690.266,88,0.035204604,5.73E-05,Financial District South,88,Manhattan,40.7033938,-74.01130777
88,-8233489.404,4959530.055,89,0.12279457,0.000447548,Flatbush/Ditmas Park,89,Brooklyn,40.64098273,-73.96269373
89,-8237283.593,4974441.127,90,0.030759162,5.53E-05,Flatiron,90,Manhattan,40.74254616,-73.99677751
90,-8230133.106,4957536.155,91,0.124996625,0.00053733,Flatlands,91,Brooklyn,40.62738999,-73.93254359
91,-8218767.779,4977612.498,92,0.117830067,0.000374947,Flushing,92,Queens,40.76412728,-73.83044713
92,-8220041.901,4973954.588,93,0.170998028,0.000594278,Flushing Meadows-Corona Park,93,Queens,40.73923465,-73.84189276
93,-8226576.161,4991457.585,94,0.049832608,6.26E-05,Fordham South,94,Bronx,40.85826077,-73.90059101
94,-8220746.239,4971638.024,95,0.113629605,0.00057277,Forest Hills,95,Queens,40.72346527,-73.84821993
95,-8223840.062,4967569.521,96,0.185180248,0.000547566,Forest Park/Highland Park,96,Queens,40.69576099,-73.87601222
96,-8234923.516,4966814.091,97,0.062476015,0.000163304,Fort Greene,97,Brooklyn,40.69061565,-73.97557658
97,-8213101.963,4973162.216,98,0.121661018,0.000485773,Fresh Meadows,98,Queens,40.73384122,-73.77955023
98,-8258537.292,4950531.756,99,0.183371489,0.001210165,Freshkills Park,99,Staten Island,40.57961795,-74.18770274
99,-8236393.97,4976052.749,100,0.024813109,3.75E-05,Garment District,100,Manhattan,40.75351409,-73.98878589
100,-8205256.205,4974613.859,101,0.101709836,0.000452343,Glen Oaks,101,Queens,40.74372178,-73.70907059
101,-8224506.477,4968585.358,102,0.136900485,0.000296595,Glendale,102,Queens,40.70267936,-73.88199873
102,-8242671.89,4966703.236,103,0.014305517,6.33E-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,40.68986057,-74.04518141
103,-8241998.347,4967997.126,104,0.021220833,1.19E-05,Governor's Island/Ellis Island/Liberty Island,104,Manhattan,40.69867329,-74.03913087
104,-8239734.498,4966450.321,105,0.07742534,0.000368636,Governor's Island/Ellis Island/Liberty Island,105,Manhattan,40.68813783,-74.01879437
105,-8236725.444,4964281.24,106,0.049211012,0.000113617,Gowanus,106,Brooklyn,40.67336117,-73.99176357
106,-8235784.436,4973677.46,107,0.038041365,7.46E-05,Gramercy,107,Manhattan,40.73734838,-73.98331036
107,-8235457.802,4951923.145,108,0.111171412,0.000352866,Gravesend,108,Brooklyn,40.58911034,-73.98037615
108,-8254642.44,4946020.343,109,0.17826782,0.001169601,Great Kills,109,Staten Island,40.54883071,-74.15271469
109,-8251651.477,4945205.361,110,0.103946293,0.000525745,Great Kills Park,110,Staten Island,40.54326752,-74.12584641
110,-8236639.208,4961163.453,111,0.05993088,0.000208683,Green-Wood Cemetery,111,Brooklyn,40.6521158,-73.9909889
111,-8231906.27,4972426.106,112,0.107267876,0.000462069,Greenpoint,112,Brooklyn,40.72883034,-73.9484722
112,-8237044.335,4972963.119,113,0.032745351,5.80E-05,Greenwich Village North,113,Manhattan,40.73248595,-73.99462822
113,-8237495.148,4972393.992,114,0.031727035,4.70E-05,Greenwich Village South,114,Manhattan,40.72861173,-73.99867794
114,-8247937.825,4956471.003,115,0.116169414,0.000373169,Grymes Hill/Clifton,115,Staten Island,40.62012755,-74.09248611
115,-8231783.3,4986936.339,116,0.068116484,0.000260415,Hamilton Heights,116,Manhattan,40.82753526,-73.94736754
